
// range 230에 scope 170이 보통맵 설정							
// range_IN : 맵에 진입시 range

// rotationFrom -360 , To : 360 이 보통맵 설정												
// rotation_IN :  맵에 진입시 rotation_IN 으로 진입														

// altitudeFrom -50 , To : -65 이 보통맵 설정															
//              -25 는 보통맵의 최대허용범위															
// altitude_IN : 맵에 진입시 altitude_IN으로 진입															

// 맵 이름 	range	scope 	range_IN	rotationFrom 	rotationTo	rotation_IN	altitudeFrom	altitudeTo	altitude_IN							
//ex_map02.rsw#	250#	250#	500#		0#		90#		45#		-40#		-65#		-65#	

ecl_hub01.rsw#	210#	50#	250#		45#		65#		50#		-35#		-45#		-40#	
arug_cas01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
arug_cas02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
arug_cas03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
arug_cas04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
arug_cas05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
arug_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ayo_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ayo_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ayo_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ayo_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ayothaya.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
beach_dun.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
beach_dun2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
beach_dun3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
bif_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
bif_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
bossnia_01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
bossnia_02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
bossnia_03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
bossnia_04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
bra_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
bra_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
bra_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
brasilis.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
c_tower1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
c_tower2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
c_tower3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
c_tower4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
cmd_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
cmd_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
cmd_fild03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
cmd_fild04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
cmd_fild05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
cmd_fild06.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
cmd_fild07.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
cmd_fild08.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
cmd_fild09.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
comodo.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
dew_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
dew_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
dew_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
dewata.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
dic_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
dic_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
dic_dun03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
dic_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
dic_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
dicastes01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
dicastes02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
e_tower.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ecl_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ecl_tdun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ecl_tdun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ecl_tdun03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ecl_tdun04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
eclage.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ein_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ein_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ein_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ein_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ein_fild03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ein_fild04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ein_fild05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ein_fild06.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ein_fild07.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ein_fild08.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ein_fild09.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ein_fild10.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
einbech.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
einbroch.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_dun00.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_dun03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_fild00.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_fild03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_fild04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_fild05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_fild06.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_fild07.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_fild08.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_fild09.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_fild10.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_fild11.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_fild12.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_fild13.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_fild14.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gef_tower.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gefenia01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gefenia02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gefenia03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gefenia04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
geffen.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gefg_cas01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gefg_cas02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gefg_cas03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gefg_cas04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gefg_cas05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_cas01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_cas02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_cas02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_chyard.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_chyard.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_chyard.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_knt01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_knt02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_prison.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_prison1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_sew01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_sew02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_sew03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_sew04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gl_step.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
glast_01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gld_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gld_dun01_2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gld_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gld_dun02_2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gld_dun03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gld_dun03_2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gld_dun04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gld_dun04_2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gld2_ald.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gld2_gef.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gld2_pay.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gld2_prt.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gon_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gon_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gon_dun03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gon_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
gonryun.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
guild_vs1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
guild_vs2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
guild_vs3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
guild_vs4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
guild_vs5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
hu_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
hu_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
hu_fild03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
hu_fild04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
hu_fild05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
hu_fild06.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
hu_fild07.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
hugel.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ice_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ice_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ice_dun03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ice_dun04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
in_moc_16.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
in_sphinx1.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
in_sphinx2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
in_sphinx3.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
in_sphinx4.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
in_sphinx5.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
iz_dun00.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
iz_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
iz_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
iz_dun03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
iz_dun04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
iz_dun05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
izlu2dun.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
izlude.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
jawaii.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
jupe_cave.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
jupe_core.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
jupe_core2.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
jupe_ele.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
jupe_ele_r.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
jupe_gate.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
juperos_01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
juperos_02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
kh_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
kh_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
lhz_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
lhz_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
lhz_dun03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
lhz_dun04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
lhz_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
lhz_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
lhz_fild03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
lighthalzen.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
lou_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
lou_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
lou_dun03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
lou_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
louyang.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ma_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ma_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
ma_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mag_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mag_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mal_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
malangdo.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
malaya.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
man_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
man_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
man_fild03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
manuk.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mid_camp.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mid_campin.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mjo_dun01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mjo_dun02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mjo_dun03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mjolnir_01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mjolnir_02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mjolnir_03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mjolnir_04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mjolnir_05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mjolnir_06.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mjolnir_07.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mjolnir_08.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mjolnir_09.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mjolnir_10.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mjolnir_11.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
mjolnir_12.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_castle.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild06.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild07.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild08.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild09.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild10.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild11.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild12.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild13.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild14.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild15.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild16.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild17.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild18.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild19.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild20.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild21.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild22.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_fild22b.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_para01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_pryd01.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_pryd02.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_pryd03.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_pryd04.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
moc_pryd05.rsw#	250#	250#	500#	-360#	360#	0#	-25#	-65#	-65#							
